,0,T_ref,T_res,abs
290,SP_Yminus,-57.93297476035854,-58.67523945075828,0.7422646903997432
291,SP_Yminus,-53.523923553706645,-54.35226974839793,0.8283461946912851
292,SP_Xminus,-63.885052954853705,-64.5834126428592,0.6983596880054961
293,SP_Xminus,-62.35780697054464,-63.08501291569675,0.7272059451521145
294,SP_Xminus,-63.76635940073132,-64.46277289468725,0.6964134939559301
295,SP_Xminus,-62.896398729885185,-63.60989609493089,0.7134973650457042
296,SP_Xminus,-63.179726116439326,-63.87732526854049,0.6975991521011622
297,SP_Xminus,-63.37432708646646,-64.07144057963677,0.6971134931703133
298,SP_Xminus,-61.54971027369324,-62.260963432041564,0.7112531583483204
299,SP_Xminus,-63.32079110079502,-64.00771554599959,0.6869244452045677
300,SP_Xminus,-63.3132945971569,-63.993481974609864,0.6801873774529668
301,SP_Xminus,-63.097551368812844,-63.77372322940809,0.6761718605952467
302,SP_Zplus,-63.924553069355504,-64.59213346352334,0.6675803941678353
303,SP_Zplus,-63.651300138029775,-64.31981654232663,0.6685164042968594
304,SP_Zplus,-62.98385163376354,-63.65736370042288,0.6735120666593346
305,SP_Zplus,-63.14596968007348,-63.81768963004322,0.6717199499697415
306,Propulsion,-59.974745943322226,-60.65952419909692,0.6847782557746953
307,Propulsion,-60.63659981875389,-61.26965100009858,0.6330511813446833
308,Propulsion,-60.801161291427114,-61.42095592631719,0.6197946348900771
309,Propulsion,-60.64238909744622,-61.27902492610528,0.6366358286590597
310,Propulsion,-61.08417116012865,-61.698162436855654,0.6139912767270062
311,Propulsion,-60.969067457899506,-61.57737708912893,0.6083096312294245
312,Propulsion,-60.81855627976023,-61.43942402787624,0.6208677481160123
313,Propulsion,-60.97834434433236,-61.58687893510094,0.6085345907685777
314,Propulsion,-60.97924089706007,-61.585131663282,0.6058907662219255
315,Esail,-41.486587060763505,-42.21233242048788,0.7257453597243781
316,Esail,-55.790423730283145,-56.69540625510734,0.9049825248241987
317,Esail,-55.164100905612145,-55.99602068732162,0.8319197817094732
318,Esail,-49.838449847995605,-50.23471238617947,0.39626253818386203
319,Esail,-54.96280947015171,-55.28428190808424,0.32147243793252755
320,Esail,-55.88725670668344,-56.43333626705845,0.5460795603750128
321,Esail,-54.202070387792844,-54.8443960155636,0.6423256277707594
322,Esail,-57.50405326067533,-58.12933089557046,0.6252776348951343
323,Esail,-57.51606048704602,-58.202512940117174,0.6864524530711549
324,SecondaryMirror,-269.99999876309965,-267.85213012397287,-2.1478686391267843
325,PrimaryMirror,-58.471428246587685,-59.17219223335724,0.7007639867695517
326,Instrument,-56.78777727127081,-57.926245435712104,1.1384681644412922
327,Instrument,-56.48596445431519,-57.529235810861934,1.0432713565467466
328,Instrument,-56.840799587396795,-57.867612386849004,1.026812799452209
329,Instrument,-56.22613383063435,-57.18117778432921,0.9550439536948545
330,Instrument,-57.28228593939792,-58.1916520067729,0.9093660673749753
331,Instrument,-56.57679890423304,-57.56052704240872,0.9837281381756853
332,Instrument,-56.86705608525054,-57.87678516554067,1.0097290802901284
333,Instrument,-56.55631781787591,-57.55503262419802,0.9987148063221127
334,Instrument,-56.490585744660386,-57.44712013033367,0.9565343856732866
335,Instrument,-56.46279252922193,-57.377173130980964,0.914380601759035
336,Instrument,-56.275563631029264,-57.24397272955463,0.9684090985253633
337,Instrument,-55.55734378291956,-56.43866134615115,0.8813175632315904
338,Instrument,-57.05490318185238,-57.948299000220715,0.893395818368333
339,Instrument,-57.56725360710487,-58.470122946245,0.9028693391401319
340,Instrument,-56.575525569917204,-57.492231409252554,0.91670583933535
341,Instrument,-57.458526781897056,-58.40195518481744,0.9434284029203823
342,Instrument,-58.06755014886735,-58.94268809460007,0.8751379457327246
343,Instrument,-58.154606109036905,-58.92255272405686,0.7679466150199517
344,Instrument,-58.82603310815836,-59.762917825311376,0.9368847171530135
345,Instrument,-56.834367311717074,-57.837230954462285,1.0028636427452113
346,Instrument,-57.67389012788769,-58.5780279213152,0.904137793427509
347,Instrument,-56.90786342902907,-57.84870312894515,0.9408396999160757
348,Instrument,-57.668416244475345,-58.53523049105419,0.8668142465788478
349,Instrument,-56.61383509129132,-57.57797629637744,0.964141205086122
350,Telescope,-58.48328104904446,-59.181713933996434,0.698432884951977
351,StarTracker,-57.13512104322749,-58.018615686629715,0.8834946434022228
352,StarTracker_inner,-57.144532763803284,-58.02800688781579,0.8834741240125084
353,StarTracker_outer,-57.14457518988203,-58.02804820110998,0.8834730112279487
