***************************************************************************
MODEL NAME = MAT_v2_7
report produced by REPORT_RADIATIVE_MODEL procedure at 22:14 Fri 5 Jun 2020
***************************************************************************
-------------------------------------------------------------------------------------------------------------------------
Model Name = MAT_v2_7                                                                                                     
-------------------------------------------------------------------------------------------------------------------------
FACE | SUBMODEL | NODE | CRIT | PRIMITIVE NAME             | FACE LABEL        | TYPE |  INFRA-RED/SOLAR    | FACE AREA  
     |          |      |      |                            |                   |      | EPSI RHOD RHOS TAU  |            
     |          |      |      |                            |                   |      | ALPH RHOD RHOS TAU  |            
-------------------------------------------------------------------------------------------------------------------------
143  |          | 89   | N    | PCB3                       | PCB               | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
144  |          | 89   | N    | PCB3                       |                   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
145  |          | 90   | N    | PCB3                       | PCB               | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
146  |          | 90   | N    | PCB3                       |                   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
147  |          | 91   | N    | Battery1                   | Battery           | BOX  | .020 .980 .000 .000 | 1.6660E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
149  |          | 92   | N    | Battery1                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
151  |          | 93   | N    | Battery1                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
153  |          | 94   | N    | Battery1                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
155  |          | 95   | N    | Battery1                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
157  |          | 96   | N    | Battery1                   | Battery           | BOX  | .020 .980 .000 .000 | 1.6660E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
159  |          | 97   | N    | Battery2                   | Battery           | BOX  | .020 .980 .000 .000 | 1.6660E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
161  |          | 98   | N    | Battery2                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
163  |          | 99   | N    | Battery2                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
165  |          | 100  | N    | Battery2                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
167  |          | 101  | N    | Battery2                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
169  |          | 102  | N    | Battery2                   | Battery           | BOX  | .020 .980 .000 .000 | 1.6660E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
171  |          | 103  | N    | Battery3                   | Battery           | BOX  | .020 .980 .000 .000 | 1.6660E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
173  |          | 104  | N    | Battery3                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
175  |          | 105  | N    | Battery3                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
177  |          | 106  | N    | Battery3                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
179  |          | 107  | N    | Battery3                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
181  |          | 108  | N    | Battery3                   | Battery           | BOX  | .020 .980 .000 .000 | 1.6660E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
183  |          | 109  | N    | DP_Xplus_1                 | SolarArray        | RECT | .890 .110 .000 .000 | 1.7600E-003
     |          |      |      |                            |                   |      | .635 .365 .000 .000 |            
184  |          | 110  | N    | DP_Xplus_1                 | Reflectarray      | RECT | .890 .110 .000 .000 | 1.7600E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
