***************************************************************************
MODEL NAME = MAT_v2_8
report produced by REPORT_RADIATIVE_MODEL procedure at 19:24 Sun 7 Jun 2020
***************************************************************************
-------------------------------------------------------------------------------------------------------------------------
Model Name = MAT_v2_8                                                                                                     
-------------------------------------------------------------------------------------------------------------------------
FACE | SUBMODEL | NODE | CRIT | PRIMITIVE NAME             | FACE LABEL        | TYPE |  INFRA-RED/SOLAR    | FACE AREA  
     |          |      |      |                            |                   |      | EPSI RHOD RHOS TAU  |            
     |          |      |      |                            |                   |      | ALPH RHOD RHOS TAU  |            
-------------------------------------------------------------------------------------------------------------------------
135  |          | 76   | N    | PCB3                       | PCB               | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
136  |          | 76   | N    | PCB3                       |                   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
137  |          | 77   | N    | PCB3                       | PCB               | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
138  |          | 77   | N    | PCB3                       |                   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
139  |          | 78   | N    | PCB3                       | PCB               | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
140  |          | 78   | N    | PCB3                       |                   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
141  |          | 79   | N    | PCB3                       | PCB               | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
142  |          | 79   | N    | PCB3                       |                   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
143  |          | 80   | N    | PCB3                       | PCB               | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
144  |          | 80   | N    | PCB3                       |                   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
145  |          | 81   | N    | PCB3                       | PCB               | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
146  |          | 81   | N    | PCB3                       |                   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
147  |          | 82   | N    | Battery1                   | Battery           | BOX  | .020 .980 .000 .000 | 1.6660E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
149  |          | 83   | N    | Battery1                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
151  |          | 84   | N    | Battery1                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
153  |          | 85   | N    | Battery1                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
155  |          | 86   | N    | Battery1                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
157  |          | 87   | N    | Battery1                   | Battery           | BOX  | .020 .980 .000 .000 | 1.6660E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
159  |          | 88   | N    | Battery2                   | Battery           | BOX  | .020 .980 .000 .000 | 1.6660E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
161  |          | 89   | N    | Battery2                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
163  |          | 90   | N    | Battery2                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
165  |          | 91   | N    | Battery2                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
167  |          | 92   | N    | Battery2                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
169  |          | 93   | N    | Battery2                   | Battery           | BOX  | .020 .980 .000 .000 | 1.6660E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
171  |          | 94   | N    | Battery3                   | Battery           | BOX  | .020 .980 .000 .000 | 1.6660E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
173  |          | 95   | N    | Battery3                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
175  |          | 96   | N    | Battery3                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
177  |          | 97   | N    | Battery3                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
179  |          | 98   | N    | Battery3                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
