****************************************************************************
MODEL NAME = RU_v4_detail
report produced by REPORT_RADIATIVE_MODEL procedure at 15:37 Fri 29 May 2020
****************************************************************************
-------------------------------------------------------------------------------------------------------------------
Model Name = RU_v4_detail                                                                                           
-------------------------------------------------------------------------------------------------------------------
FACE | SUBMODEL | NODE | CRIT | PRIMITIVE NAME | FACE LABEL              | TYPE |  INFRA-RED/SOLAR    | FACE AREA  
     |          |      |      |                |                         |      | EPSI RHOD RHOS TAU  |            
     |          |      |      |                |                         |      | ALPH RHOD RHOS TAU  |            
-------------------------------------------------------------------------------------------------------------------
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
93   |          | 65   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
94   |          | 65   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6478E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
95   |          | 66   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
96   |          | 66   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
97   |          | 67   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
98   |          | 67   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
99   |          | 68   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
100  |          | 68   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
101  |          | 69   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
102  |          | 69   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
103  |          | 70   | N    | Propulsion     | Prop                    | RECT | .035 .965 .000 .000 | 4.3890E-003
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
104  |          | 70   | N    | Propulsion     | Prop                    | RECT | .035 .965 .000 .000 | 4.3890E-003
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
105  |          | 71   | N    | AdditionalPCB  |                         | RECT | .035 .965 .000 .000 | 4.3890E-003
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
106  |          | 71   | N    | AdditionalPCB  |                         | RECT | .035 .965 .000 .000 | 4.3890E-003
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
107  |          | 72   | N    | TetherPCB      |                         | RECT | .035 .965 .000 .000 | 4.3890E-003
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
108  |          | 72   | N    | TetherPCB      |                         | RECT | .035 .965 .000 .000 | 4.3890E-003
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
109  |          | 73   | N    | AvionicsPCB    | obc                     | RECT | .035 .965 .000 .000 | 4.3890E-003
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
110  |          | 73   | N    | AvionicsPCB    | obc                     | RECT | .035 .965 .000 .000 | 4.3890E-003
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            


     ** Statistic details of model **

Total number of faces in the model                     = 110
Total number of active faces in the model              = 101
Total number of inactive faces in the model            = 0
Total number of radiatively active faces in the model  = 0
Total number of thermally active faces in the model    = 9
Total number of non geometric faces in the model       = 0
Total number of geometry in the model                  = 9
Total number of geometric primitives in the model      = 8
Total number of non geometric shells in the model      = 0
Total number of nodes in the thermal model             = 73
Total number of submodels in the thermal model         = 0
